13001 | 1440000022222 | 80000 | 14400000123456 | Sat Dec 29 18:25:29 2012
13002 | 1440000012345 | 300000 | 1440000022222 | Thu Jan 03 10:39:30 2013
13003 | 1440000033333 | 350000 | 1440000012345 | Thu Jan 03 11:58:56 2013
13004 | 1440000012345 | 50000 | 1440000022222 | Fri Jan 04 08:15:07 2013
13005 | 1440000012345 | 300000 | 1440000022222 | Fri Jan 04 23:24:31 2013
13006 | 1440000012345 | 400000 | 1440000022222 | Sun Jan 06 14:25:03 2013
13007 | 1440000012345 | 30000 | 1440000022222 | Mon Jan 07 08:09:44 2013
13008 | 1440000012345 | 10000 | 1440000033333 | Mon Jan 07 18:37:42 2013
13009 | 1440000012345 | 50000 | 1440000022222 | Tue Sep 17 10:07:33 2013
13010 | 1440000012345 | 10000000 | 1440000022222 | Mon Feb 03 20:40:53 2014
